"","Type","Sums","Means"
"308ROCBBQ_6.21.12_1","ref",4.7909159147867,1.19772897869668
"308SAM_6.23.10_1","ref",5.01647950561115,1.25411987640279
"308SANWIL_6.12.12_1","ref",4.11632747815008,1.02908186953752
"308SBCAH1_6.21.10_1","ref",4.50355995221603,1.12588998805401
"308SBCAH1_6.21.10_2","ref",4.67591342571956,1.16897835642989
"309ARCBRC_8.25.08_1","ref",5.69514661555222,1.42378665388806
"309ARSARC_6.23.10_1","ref",5.83708685605576,1.45927171401394
"309CAW126_5.21.14_1","ref",3.81346347039941,0.953365867599853
"309NAF_5.24.12_1","ref",5.59127788525759,1.3978194713144
"309PS0116_6.16.11_1","ref",5.75250924892156,1.43812731223039
"309PS0116_6.16.11_2","ref",5.03673612238343,1.25918403059586
"309WLCATC_6.22.10_1","ref",5.0057006620057,1.25142516550143
"310COO_6.24.10_1","ref",5.22764468109724,1.30691117027431
"310LPCBPC_6.9.09_1","ref",5.72234261958157,1.43058565489539
"312DAVDAV_6.7.12_1","ref",4.6827312738313,1.17068281845783
"312MZCDBC_5.13.14_1","ref",3.29491247210499,0.823728118026249
"312MZCDBC_6.14.10_1","ref",4.04628118206147,1.01157029551537
"312PS0099_6.14.10_1","ref",2.67733221879779,0.669333054699448
"312PS0099_6.14.10_2","ref",4.15698477212581,1.03924619303145
"312RYCALR_6.16.10_1","ref",4.89132767326,1.222831918315
"315CHCALS_6.15.10_1","ref",2.03044940231362,0.507612350578405
"402BA0095_5.29.08_1","ref",5.50082198768019,1.37520549692005
"402BA0287_6.9.08_1","ref",5.58406151506794,1.39601537876698
"402BA0287_6.9.08_2","ref",1.30091682437934,0.325229206094835
"402M00005_6.11.15_1","ref",4.64682315365415,1.16170578841354
"402M00009_6.29.15_1","ref",3.65378764685476,0.91344691171369
"402MTCUNF_6.5.12_1","ref",4.98087973745397,1.24521993436349
"402PS0048_5.21.08_1","ref",4.11127941891958,1.02781985472989
"403BA0015_5.19.08_1","ref",5.92918150871948,1.48229537717987
"403BA0064_5.12.08_1","ref",3.62034919049956,0.905087297624891
"403BA0064_6.18.14_1","ref",2.64248421945123,0.660621054862807
"403BA0140_5.21.08_1","ref",3.79852300326304,0.94963075081576
"403BA0171_5.19.08_1","ref",5.10725474041358,1.2768136851034
"403BA0960_5.21.08_1","ref",4.99171357681844,1.24792839420461
"403LNCASC_6.15.10_1","ref",5.86872608601641,1.4671815215041
"403S00064_6.2.10_1","ref",4.16801677432556,1.04200419358139
