,Type,Score,prop.spp.IndicatorClass_DOC_high,prop.spp.Trophic.I,prop.spp.BCG3,prop.spp.ZHR
207SUI290_6.4.12_1,ref,0.935176735,1.863142073,0.589271626,0.955162177,0.333131063
207SUI800_5.5.14_1,ref,0.775918109,0.97924363,0.451018942,0.516755537,1.156654326
304WDCAH1_6.29.10_1,ref,1.148556736,1.751224858,1.281977444,1.56102464,0
305LGCACR_7.16.08_1,ref,1.076571261,0.960444093,0.580065551,1.168658291,1.597117109
305LGCBRC_6.30.10_1,ref,1.206297965,2.071493444,0.923192214,1.308600867,0.521905333
305SSCAUC_6.29.10_1,ref,0.932213258,0.686560319,0.649997886,0.725351828,1.666943
305UVCASC_6.29.10_1,ref,1.450918976,1.241777627,1.249928008,2.661477235,0.650493033
307CE0094_6.12.12_1,ref,1.275164792,1.396435162,2.381321737,1.049711185,0.273191084
307CE0094_6.12.12_2,ref,1.292120143,2.363577863,0.706524654,1.77884418,0.319533877
307CMRADC_5.20.14_1,ref,1.110695224,0.852206619,0,0.929097042,2.661477235
307CMRADC_5.20.14_2,ref,1.152577515,1.622141945,0,1.766296067,1.221872048
307CMRADC_6.22.10_1,ref,0.954980116,1.311006187,1.206536347,0.887127482,0.415250448
307SCCARR_6.21.10_1,ref,1.247847613,2.492438636,1.221872048,1.27707977,0
308BSU_7.13.10_1,ref,0.778669136,0.589470981,1.004542188,0.876617214,0.644046159
308LILPAL_6.20.12_1,ref,1.05759749,1.881481253,0.946915157,1.254154224,0.147839326
308LSRASC_6.13.11_1,ref,0.776951296,0.780360826,1.885213042,0.442231318,0
308LSRASC_7.18.11_1,ref,1.137833889,1.955605699,0.532610893,1.762019732,0.30109923
308MWCAH1_6.23.10_1,ref,0.818504407,0.778101695,1.104996407,1.390919528,0
308PS0156_6.19.12_1,ref,1.302179733,1.784163257,0.862019316,2.113920476,0.448615885
308PWCAH1_6.22.10_1,ref,1.485699417,1.320610628,2.320262205,1.104087005,1.197837832
308ROCBBQ_6.21.12_1,ref,1.197728979,2.661477235,0.865492701,1.263945979,0
308SAM_6.23.10_1,ref,1.254119876,0.897809648,1.699994472,1.328751116,1.089924269
308SANWIL_6.12.12_1,ref,1.02908187,1.86266644,0.833285338,1.4203757,0
308SBCAH1_6.21.10_1,ref,1.125889988,1.170541239,2.356516302,0.652087999,0.324414413
308SBCAH1_6.21.10_2,ref,1.168978356,2.33350052,0.903122818,1.098917044,0.340373043
309ARCBRC_8.25.08_1,ref,1.423786654,1.003212877,0.833959552,1.45191495,2.406059235
309ARSARC_6.23.10_1,ref,1.459271714,1.751224858,0.961483083,2.123620403,1.000758512
309CAW126_5.21.14_1,ref,0.953365868,1.135070292,0,0.728399519,1.949993659
309NAF_5.24.12_1,ref,1.397819471,2.555738665,0.989134515,1.48722042,0.559184285
309PS0116_6.16.11_1,ref,1.438127312,1.178941962,0.753406641,1.24397601,2.576184636
309PS0116_6.16.11_2,ref,1.259184031,1.877105715,0.581361864,1.973158746,0.605109798
309WLCATC_6.22.10_1,ref,1.251425166,1.276954078,2.056596045,0.728399519,0.943751019
310COO_6.24.10_1,ref,1.30691117,2.33350052,1.221872048,1.33189907,0.340373043
310LPCBPC_6.9.09_1,ref,1.430585655,1.129502461,1.425801815,1.338778279,1.828260064
312DAVDAV_6.7.12_1,ref,1.170682818,1.881481253,0.568149094,2.085261601,0.147839326
312MZCDBC_5.13.14_1,ref,0.823728118,0.751458573,0,0.62099812,1.922455779
312MZCDBC_6.14.10_1,ref,1.011570296,2.435141196,0.716269821,0.62491913,0.269951034
