,Type,Score,prop.spp.Salinity.BF,prop.spp.HighMotility,prop.ind.most.tol,prop.spp.BCG3
206BRC020_6.27.12_2,ref,0.460362008,NA,0.400509982,0.687091906,0.293484135
206HCT020_5.29.12_1,ref,1.30223309,1.739150876,1.013882209,1.153666187,NA
206RCCBDC_7.20.10_1,ref,1.109175023,1.131276311,0.8339498,NA,1.362298957
206TUL120_6.13.11_1,ref,1.121555545,1.326393714,NA,1.320805693,0.717467229
207GVC800_5.23.13_1,ref,0.8688818,NA,0.869843772,0.932910299,0.803891328
207SUI290_6.4.12_1,ref,0.773552512,1.205653541,0.503163803,0.611840193,NA
207SUI800_5.5.14_1,ref,0.555981532,0.436635194,0.606922379,NA,0.624387022
304WDCAH1_6.29.10_1,ref,1.02722619,1.213338883,NA,1.055210161,0.813129526
305LGCACR_7.16.08_1,ref,0.935244798,NA,0.906510475,0.743630137,1.155593783
305LGCBRC_6.30.10_1,ref,1.000583411,1.609432456,0.584486939,0.807830839,NA
305SSCAUC_6.29.10_1,ref,0.85052378,1.042783981,0.884400338,NA,0.624387022
305UVCASC_6.29.10_1,ref,1.337653868,1.427621805,NA,1.445942049,1.139397749
307CE0094_6.12.12_1,ref,1.041121931,NA,1.221844115,0.829666574,1.071855104
307CE0094_6.12.12_2,ref,1.108661599,1.466605497,0.762851128,1.096528173,NA
307CMRADC_5.20.14_1,ref,0.85674293,1.130872532,1.439356257,NA,0
307CMRADC_5.20.14_2,ref,0.715087796,1.430175593,NA,NA,0
307CMRADC_6.22.10_1,ref,0.951550003,NA,1.21011077,0.822783659,0.821755579
307SCCARR_6.21.10_1,ref,0.904372184,1.196903469,0.594054367,0.922158717,NA
308BSU_7.13.10_1,ref,1.058864438,1.128834681,1.183222756,NA,0.864535877
308LILPAL_6.20.12_1,ref,0.950159747,1.09818423,NA,1.020478437,0.731816574
308LSRASC_6.13.11_1,ref,0.9544327,NA,1.345044235,0.901937182,0.616316685
308LSRASC_7.18.11_1,ref,1.16720058,1.604549282,0.645180309,1.251872149,NA
308MWCAH1_6.23.10_1,ref,1.261399113,1.049779635,1.069385645,NA,1.665032059
308PS0156_6.19.12_1,ref,0.968135845,1.098869261,NA,0.95705529,0.848482984
308PWCAH1_6.22.10_1,ref,0.927716363,NA,0.882415213,0.800168367,1.100565508
308ROCBBQ_6.21.12_1,ref,1.077197169,1.600764262,0.762851128,0.867976117,NA
308SAM_6.23.10_1,ref,1.251374487,1.130007576,1.183222756,NA,1.440893128
308SANWIL_6.12.12_1,ref,1.010204264,1.212851946,NA,1.158466636,0.659294211
308SBCAH1_6.21.10_1,ref,0.950108654,NA,1.142644038,0.783206898,0.924475027
308SBCAH1_6.21.10_2,ref,1.056540251,1.610216025,0.762851128,0.7965536,NA
309ARCBRC_8.25.08_1,ref,1.099383925,1.047043098,0.93989593,NA,1.311212746
309ARSARC_6.23.10_1,ref,1.076710283,1.096834522,NA,1.066063824,1.067232504
309CAW126_5.21.14_1,ref,0.874922315,NA,1.749844629,NA,0
309NAF_5.24.12_1,ref,1.029660649,1.334164524,0.799291123,0.9555263,NA
309PS0116_6.16.11_1,ref,1.000351179,0.867879156,0.884400338,NA,1.248774044
309PS0116_6.16.11_2,ref,1.001062282,1.207593866,NA,1.098624815,0.696968166
309WLCATC_6.22.10_1,ref,0.894188145,NA,1.171558352,0.630553676,0.880452406
310COO_6.24.10_1,ref,0.974183322,1.338308679,0.674251923,0.909989363,NA
310LPCBPC_6.9.09_1,ref,1.145553858,1.045811482,0.963679755,NA,1.427170336
312DAVDAV_6.7.12_1,ref,1.040383539,0.882028054,NA,1.333063948,0.906058615
312MZCDBC_5.13.14_1,ref,0.874922315,NA,1.749844629,NA,0
312MZCDBC_6.14.10_1,ref,0.796601954,1.211673981,0.420536018,0.757595863,NA
312PS0099_6.14.10_1,ref,0.745296286,0.705404279,0.710976614,NA,0.819507966
312PS0099_6.14.10_2,ref,0.789974919,0.550277348,NA,1.142039469,0.677607939
312RYCALR_6.16.10_1,ref,0.946608236,NA,0.978796259,0.687091906,1.173936542
315CHCALS_6.15.10_1,ref,1.438788137,1.738178525,1.139397749,NA,NA
402BA0095_5.29.08_1,ref,1.183351685,1.04691006,1.254370951,NA,1.248774044
402BA0287_6.9.08_1,ref,1.131377626,1.321381554,NA,1.174029214,0.898722108
