,Type,Combo,cnt.spp.IndicatorClass_TP_high,prop.spp.IndicatorClass_DOC_high,prop.spp.Green,prop.spp.BCG3
509ICPPCX_9.10.08_1,ref,1.39617286,1.325107873,1.222563768,1.70042205,1.336597751
509MLC145_8.6.13_1,ref,1.142910512,1.077872716,1.733295816,1.097919581,0.662553937
509PCDTWR_7.15.08_1,ref,1.029649463,1.190295435,1.108577899,0.826947019,0.992777501
509PCDTWR_9.3.08_1,ref,1.125441119,1.069278201,1.083390347,1.026545443,1.322550483
509PMC197_7.2.14_1,ref,1.048573854,1.060086298,1.177190267,1.511486266,0.445532584
509PS0085_9.7.11_1,ref,1.11768863,1.077872716,0.731176179,1.336597751,1.325107873
509PS0085_9.7.11_2,ref,1.300563657,1.58706058,0.94274528,1.325107873,1.347340894
509PS0170_7.26.10_1,ref,1.16262843,1.069278201,1.232139594,1.026545443,1.322550483
509PS0234_7.21.11_1,ref,1.182213484,1.060086298,1.252812768,1.747655995,0.668298876
509PS0234_8.15.11_1,ref,1.214032175,1.077872716,1.770411358,1.124439378,0.883405249
509PS0334_9.12.12_1,ref,0.982653324,1.58706058,1.206607034,0.672345374,0.464600308
513BTCACC_9.10.08_1,ref,1.155310605,0.801958651,1.099048163,0.840821761,1.879413844
513BTCACC_9.10.08_2,ref,1.134698945,0.795064724,1.131816766,1.275316537,1.336597751
513CCNASC_7.16.14_1,ref,0.842047142,0,1.72473069,0.89596113,0.747496749
513PS0008_6.11.09_1,ref,1.181031488,1.58706058,1.254364818,0.742642874,1.14005768
513PS0008_6.25.08_1,ref,1.376679917,1.069278201,1.106274847,1.347340894,1.983825725
513PS0008_8.7.08_1,ref,0.99917348,0.795064724,0.799077762,1.511486266,0.891065167
513PS0008_9.1.10_1,ref,0.952050146,1.077872716,0.731176179,1.336597751,0.662553937
513PS0200_7.30.12_1,ref,0.586667766,0.396765145,0.852721858,0.378602249,0.71858181
513STCAIV_6.12.14_1,ref,1.075305722,1.069278201,1.27270757,0.997382221,0.961854897
513STCAIV_6.27.12_1,ref,1.169451018,1.060086298,1.190535414,1.483701592,0.943480766
513UNCAKC_5.20.09_1,ref,1.153229309,1.077872716,1.786038954,0.633125251,1.115880314
513UNCAKC_6.4.09_1,ref,0.914149084,1.58706058,0.792706243,0.378602249,0.898227263
